adv_ID,Radio,Newspaper,Actress,Social,tv fatturato,radio fatturato,social fatturato,paper fatturato,Sales,TV,Actor
96,31.6,52.9,Yes,160034,7267000,3042000,4901000,1690000,16.9,163.3,Yes
97,3.5,5.9,No,193648,7181000,3006000,4843000,1670000,16.7,197.6,No
98,21.0,22.0,No,181202,8815000,3690000,5945000,2050000,20.5,184.9,No
99,42.3,51.2,Yes,283906,10922000,4572000,7366000,2540000,25.4,289.7,Yes
100,41.7,45.9,Yes,132496,7396000,3096000,4988000,1720000,17.2,135.2,Yes
101,4.3,49.8,Yes,217952,7181000,3006000,4843000,1670000,16.7,222.4,Yes
102,36.3,100.9,Yes,290472,10234000,4284000,6902000,2380000,23.8,296.4,Yes
103,10.1,21.4,No,274596,8514000,3564000,5742000,1980000,19.8,280.2,No
104,17.2,17.9,No,184142,8471000,3546000,5713000,1970000,19.7,187.9,No
105,34.3,5.3,Yes,233436,8901000,3726000,6003000,2070000,20.7,238.2,Yes
106,46.4,59.0,No,135142,6450000,2700000,4350000,1500000,15.0,137.9,No
107,11.0,29.7,No,24500,3096000,1296000,2088000,720000,7.2,25,No
108,0.3,23.2,Yes,88592,5160000,2160000,3480000,1200000,12.0,90.4,Yes
109,0.4,25.6,Yes,12838,2279000,954000,1537000,530000,5.3,13.1,Yes
110,26.9,5.5,No,250292,8514000,3564000,5742000,1980000,19.8,255.4,No
111,8.2,56.5,No,221284,7912000,3312000,5336000,1840000,18.4,225.8,No
112,38.0,23.2,No,236866,9374000,3924000,6322000,2180000,21.8,241.7,No
113,15.4,2.4,Yes,172186,7353000,3078000,4959000,1710000,17.1,175.7,Yes
114,20.6,10.7,Yes,205408,8987000,3762000,6061000,2090000,20.9,209.6,Yes
115,46.8,34.5,No,76636,6278000,2628000,4234000,1460000,14.6,78.2,No
116,35.0,52.7,No,73598,5418000,2268000,3654000,1260000,12.6,75.1,No
117,14.3,25.6,No,136416,5246000,2196000,3538000,1220000,12.2,139.2,No
118,0.8,14.8,Yes,74872,4042000,1692000,2726000,940000,9.4,76.4,Yes
119,36.9,79.2,No,123186,6837000,2862000,4611000,1590000,15.9,125.7,No
120,16.0,22.3,Yes,19012,2838000,1188000,1914000,660000,6.6,19.4,Yes
121,26.8,46.2,No,138474,6665000,2790000,4495000,1550000,15.5,141.3,No
122,21.7,50.4,Yes,18424,3010000,1260000,2030000,700000,7.0,18.8,Yes
123,2.4,15.6,Yes,219520,7138000,2988000,4814000,1660000,16.6,224,Yes
124,34.6,12.4,Yes,120638,6536000,2736000,4408000,1520000,15.2,123.1,Yes
125,32.3,74.2,No,224910,8471000,3546000,5713000,1970000,19.7,229.5,No
126,11.8,25.9,Yes,85456,4558000,1908000,3074000,1060000,10.6,87.2,Yes
127,38.9,50.6,No,7644,2838000,1188000,1914000,660000,6.6,7.8,No
128,0.0,9.2,Yes,78596,5117000,2142000,3451000,1190000,11.9,80.2,Yes
129,49.0,3.2,Yes,215894,10621000,4446000,7163000,2470000,24.7,220.3,Yes
130,12.0,43.1,Yes,58408,4171000,1746000,2813000,970000,9.7,59.6,Yes
131,39.6,8.7,Yes,686,688000,288000,464000,160000,1.6,0.7,Yes
132,2.9,43.0,Yes,259896,7611000,3186000,5133000,1770000,17.7,265.2,Yes
133,27.2,2.1,Yes,8232,2451000,1026000,1653000,570000,5.7,8.4,Yes
134,33.5,45.1,No,215404,8428000,3528000,5684000,1960000,19.6,219.8,No
135,38.6,65.6,Yes,36162,4644000,1944000,3132000,1080000,10.8,36.9,Yes
136,47.0,8.5,Yes,47334,4988000,2088000,3364000,1160000,11.6,48.3,Yes
137,39.0,9.3,No,25088,4085000,1710000,2755000,950000,9.5,25.6,No
138,28.9,59.7,No,268226,8944000,3744000,6032000,2080000,20.8,273.7,No
139,25.9,20.5,Yes,42140,4128000,1728000,2784000,960000,9.6,43,Yes
140,43.9,1.7,Yes,181202,8901000,3726000,6003000,2070000,20.7,184.9,Yes
141,17.0,12.9,No,71932,4687000,1962000,3161000,1090000,10.9,73.4,No
142,35.4,75.6,Yes,189826,8256000,3456000,5568000,1920000,19.2,193.7,Yes
143,33.2,37.9,Yes,205065,8643000,3618000,5829000,2010000,20.1,220.5,Yes
144,5.7,34.4,No,97278,4472000,1872000,3016000,1040000,10.4,104.6,No
145,14.8,38.9,Yes,89466,5289000,2214000,3567000,1230000,12.3,96.2,Yes
146,1.9,9.0,Yes,130479,4429000,1854000,2987000,1030000,10.3,140.3,Yes
147,7.3,8.7,No,223293,7826000,3276000,5278000,1820000,18.2,240.1,No
148,49.0,44.3,No,226176,10922000,4572000,7366000,2540000,25.4,243.2,No
149,40.3,11.9,No,35340,4687000,1962000,3161000,1090000,10.9,38,No
150,25.8,20.6,No,41571,4343000,1818000,2929000,1010000,10.1,44.7,No
151,13.9,37.0,No,261051,6923000,2898000,4669000,1610000,16.1,280.7,No
152,8.4,48.7,Yes,112530,4988000,2088000,3364000,1160000,11.6,121,Yes
153,23.3,14.2,Yes,183768,7138000,2988000,4814000,1660000,16.6,197.6,Yes
154,39.7,37.7,No,159309,6880000,2880000,4640000,1600000,16.0,171.3,No
155,21.1,9.5,No,174654,8858000,3708000,5974000,2060000,20.6,187.8,No
156,11.6,5.7,No,3813,1376000,576000,928000,320000,3.2,4.1,No
157,43.5,50.5,Yes,87327,6579000,2754000,4437000,1530000,15.3,93.9,Yes
158,1.3,24.3,Yes,139314,4343000,1818000,2929000,1010000,10.1,149.8,Yes
159,36.9,45.2,No,10881,3139000,1314000,2117000,730000,7.3,11.7,No
160,18.4,34.6,Yes,122481,5547000,2322000,3741000,1290000,12.9,131.7,Yes
161,18.1,30.7,No,160425,7052000,2952000,4756000,1640000,16.4,172.5,No
162,35.8,49.3,No,79701,5719000,2394000,3857000,1330000,13.3,85.7,No
163,18.1,25.6,No,175212,8557000,3582000,5771000,1990000,19.9,188.4,No
164,36.8,7.4,No,152055,7740000,3240000,5220000,1800000,18.0,163.5,No
165,14.7,5.4,Yes,108996,5117000,2142000,3451000,1190000,11.9,117.2,Yes
166,3.4,84.8,Yes,218085,7267000,3042000,4901000,1690000,16.9,234.5,Yes
167,37.6,21.6,Yes,16647,3440000,1440000,2320000,800000,8.0,17.9,Yes
168,5.2,19.4,No,192324,7396000,3096000,4988000,1720000,17.2,206.8,No
169,23.6,57.6,No,200322,7353000,3078000,4959000,1710000,17.1,215.4,No
170,10.6,6.4,Yes,264399,8600000,3600000,5800000,2000000,20.0,284.3,Yes
171,11.6,18.4,No,46500,3612000,1512000,2436000,840000,8.4,50,No
172,20.9,47.4,No,152985,7525000,3150000,5075000,1750000,17.5,164.5,No
173,20.1,17.0,Yes,18228,3268000,1368000,2204000,760000,7.6,19.6,Yes
174,7.1,12.8,Yes,156612,7181000,3006000,4843000,1670000,16.7,168.4,Yes
175,3.4,13.1,No,206832,7095000,2970000,4785000,1650000,16.5,222.4,No
176,48.9,41.8,No,257517,11610000,4860000,7830000,2700000,27.0,276.9,No
177,30.2,20.3,Yes,231012,8686000,3636000,5858000,2020000,20.2,248.4,Yes
178,7.8,35.2,Yes,158286,7181000,3006000,4843000,1670000,16.7,170.2,Yes
179,2.3,23.7,Yes,257331,7224000,3024000,4872000,1680000,16.8,276.7,Yes
180,10.0,17.6,Yes,154008,7568000,3168000,5104000,1760000,17.6,165.6,Yes
181,2.6,8.3,Yes,145638,6665000,2790000,4495000,1550000,15.5,156.6,Yes
182,5.4,27.4,Yes,203205,7396000,3096000,4988000,1720000,17.2,218.5,Yes
183,5.7,29.7,Yes,52266,3741000,1566000,2523000,870000,8.7,56.2,Yes
184,43.0,71.8,No,267468,11266000,4716000,7598000,2620000,26.2,287.6,No
185,21.3,30.0,Yes,236034,7568000,3168000,5104000,1760000,17.6,253.8,Yes
186,45.1,19.6,Yes,190650,9718000,4068000,6554000,2260000,22.6,205,Yes
187,2.1,26.6,No,129735,4429000,1854000,2987000,1030000,10.3,139.5,No
188,28.7,18.2,No,177723,7439000,3114000,5017000,1730000,17.3,191.1,No
189,13.9,3.7,No,265980,8987000,3762000,6061000,2090000,20.9,286,No
190,12.1,23.4,No,17391,2881000,1206000,1943000,670000,6.7,18.7,No
191,41.1,5.8,Yes,36735,4644000,1944000,3132000,1080000,10.8,39.5,Yes
192,10.8,6.0,Yes,70215,5117000,2142000,3451000,1190000,11.9,75.5,Yes
193,4.1,31.6,Yes,15996,2537000,1062000,1711000,590000,5.9,17.2,Yes
194,42.0,3.6,No,155124,8428000,3528000,5684000,1960000,19.6,166.8,No
195,35.6,6.0,Yes,139221,7439000,3114000,5017000,1730000,17.3,149.7,Yes
196,3.7,13.8,No,35526,3268000,1368000,2204000,760000,7.6,38.2,No
197,4.9,8.1,No,87606,6020000,2520000,4060000,1400000,14.0,94.2,No
198,9.3,6.4,No,164610,6364000,2664000,4292000,1480000,14.8,177,No
199,42.0,66.2,No,263748,10965000,4590000,7395000,2550000,25.5,283.6,No
200,8.6,8.7,No,215853,7912000,3312000,5336000,1840000,18.4,232.1,No
